Source,Target
17185,13759
17186,18418
17190,4473
17218,17249
17223,11760
17261,26475
17261,4358
17275,17274
17290,80589
17299,61344
17309,1691
17315,12682
17319,10228
17328,16813
17333,28495
17353,867
17353,28698
17353,80251
17381,204778
17381,288235
17381,80589
17381,457016
17381,125608
17381,133733
17428,10373
17450,6684
17479,17270
17532,25961
17532,4983
17536,194111
17536,1414
17540,138878
17555,20857
17557,12355
17569,152184
17569,16695
17571,29689
17590,201198
17593,14168
17601,16813
17606,1877
17610,56313
17610,17381
17610,76215
17615,1459
17615,13029
17626,80589
17626,229681
17640,102271
17646,14008
17679,7295
17690,320632
17702,1874
17702,575
17751,1345
17751,16446
17767,16578
17770,304361
17787,294525
17795,8413
17808,15118
17810,6171
17810,5996
17822,16988
17841,4967
17843,2596
17845,38162
17864,286181
17867,8241
17888,16988
17911,142300
17937,22743
17942,500
17953,5121
17960,6339
17961,17969
17969,13645
17974,11668
18023,76919
18052,11840
18052,18067
18060,18047
18067,9599
18067,18052
18082,65911
18091,1877
18092,5058
18103,253565
18121,5344
18157,247
18166,538335
18173,5397
18173,3222
18178,5121
18200,1318
18200,307
18236,3541
18242,80847
18254,14008
18274,2332
18281,5121
18281,18641
18281,17937
18283,9809
18283,529
18286,17824
18292,4572
18318,2471
18326,500
18335,14008
18341,12414
18345,29553
18345,62001
18367,218390
18411,18015
18413,16253
18418,24051
18418,41010
18465,18374
18509,15418
18523,126153
18528,19008
18531,90045
18546,17606
18547,10534
18547,31572
18551,16825
18551,1148
18564,18313
18566,88384
18578,141606
18602,10373
18603,74376
18606,6486
18615,23562
18629,4075
18638,5121
18641,5121
18654,9607
18654,16668
18667,9933
18673,17332
18673,5484
18675,41681
18695,12867
18695,17134
18718,8437
18751,12576
18751,500981
18787,17536
18788,9318
18798,178636
18798,189540
18798,131366
18798,18274
18798,224074
18799,8241
18814,18641
18859,5121
18859,15072
18867,72386
18877,14008
18881,16584
18889,15090
18893,18641
18900,50428
18903,191914
18910,18821
18919,52288
18919,52286
18920,5655
18928,2677
18946,14008
18953,18943
18968,7697
18968,6135
18971,3629
18975,254566
19003,9599
19003,17388
19008,18528
19012,8912
19018,14008
19038,6035
19040,974
19051,13562
19074,814
19086,11017
19095,4983
19107,147942
19111,14289
19111,5121
19145,100278
19154,8701
19162,461140
19170,65911
19170,4983
19170,307
19180,20119
19185,2988
19202,5121
19203,96967
19203,12978
19206,1026
19219,465019
19234,19457
19234,16366
19245,20983
19245,20985
19245,20989
19292,16988
19292,37
19306,5636
19320,230698
19320,2263
19335,17803
19346,249826
19359,2558
19361,14345
19361,12254
19361,17770
19376,18919
19376,18903
19376,1400
19380,16669
19384,12576
19405,18988
19410,19639
19410,11116
19430,236263
19437,18023
19442,19881
19454,19214
19454,247
19457,19954
19457,100900
19457,5909
19469,14008
19478,30636
19478,19380
19478,16669
19545,4661
19549,19538
19556,19558
19556,486
19569,80589
19569,201120
19578,9606
19590,18933
19597,16874
19604,16874
19613,75377
19618,14008
19621,4246
19629,17079
19643,15627
19659,7654
19668,14936
19669,5881
19672,65632
19672,15520
19681,19430
19682,13759
19694,11160
19710,1385
19718,19728
19718,17299
19728,19718
19740,17249
19770,3697
19770,4989
19774,346924
19791,19792
19791,20616
19791,16592
19803,5018
19803,19717
19808,247
19812,16983
19812,16592
19826,7283
19828,3378
19846,13197
19846,11162
19858,47459
19862,2596
19886,40823
19887,140246
19898,14301
19898,46331
19898,17990
19898,45496
19898,270006
19900,158679
19901,19457
19901,13278
19906,22168
19930,5882
19939,2586
19946,1317
19946,5121
19954,63681
19954,186288
19958,7882
19958,20007
19962,6418
